date,market_id,source_platform,market_prob,model_prob,edge,stake,outcome,pnl
2026-01-06,synthetic-5-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-07,synthetic-6-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-07,synthetic-6-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-07,synthetic-6-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-07,synthetic-6-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-07,synthetic-6-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-07,synthetic-6-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-07,synthetic-6-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-07,synthetic-6-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-08,synthetic-7-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-08,synthetic-7-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-08,synthetic-7-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-08,synthetic-7-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-08,synthetic-7-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-08,synthetic-7-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-08,synthetic-7-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-08,synthetic-7-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-09,synthetic-8-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-09,synthetic-8-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-09,synthetic-8-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,yes,2757.142857142857
2026-01-09,synthetic-8-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-09,synthetic-8-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-09,synthetic-8-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-09,synthetic-8-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-09,synthetic-8-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,yes,925.6410256410256
2026-01-10,synthetic-9-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-10,synthetic-9-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,yes,4344.444444444444
2026-01-10,synthetic-9-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,yes,2757.142857142857
2026-01-10,synthetic-9-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-10,synthetic-9-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-10,synthetic-9-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-10,synthetic-9-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,yes,1076.4705882352941
2026-01-10,synthetic-9-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,yes,925.6410256410256
2026-01-11,synthetic-10-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-11,synthetic-10-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,yes,4344.444444444444
2026-01-11,synthetic-10-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-11,synthetic-10-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-11,synthetic-10-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-11,synthetic-10-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-11,synthetic-10-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,yes,1076.4705882352941
2026-01-11,synthetic-10-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-12,synthetic-11-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,yes,0.0
2026-01-12,synthetic-11-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-12,synthetic-11-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-12,synthetic-11-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,no,-100.0
2026-01-12,synthetic-11-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-12,synthetic-11-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,yes,1279.3103448275863
2026-01-12,synthetic-11-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-12,synthetic-11-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-13,synthetic-12-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-13,synthetic-12-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-13,synthetic-12-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,no,-100.0
2026-01-13,synthetic-12-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-13,synthetic-12-4,synthetic-polymarket,0.06,0.075,0.015,100.0,yes,0.0
2026-01-13,synthetic-12-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-13,synthetic-12-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-13,synthetic-12-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,no,-100.0
2026-01-14,synthetic-13-0,synthetic-polymarket,0.01,0.025,0.015000000000000001,100.0,no,0.0
2026-01-14,synthetic-13-1,synthetic-kalshi,0.0225,0.0425,0.020000000000000004,100.0,no,-100.0
2026-01-14,synthetic-13-2,synthetic-polymarket,0.035,0.06,0.024999999999999994,100.0,yes,2757.142857142857
2026-01-14,synthetic-13-3,synthetic-kalshi,0.0475,0.0775,0.03,100.0,yes,2005.2631578947367
2026-01-14,synthetic-13-4,synthetic-polymarket,0.06,0.075,0.015,100.0,no,0.0
2026-01-14,synthetic-13-5,synthetic-kalshi,0.0725,0.0925,0.020000000000000004,100.0,no,-100.0
2026-01-14,synthetic-13-6,synthetic-polymarket,0.085,0.11,0.024999999999999994,100.0,no,-100.0
2026-01-14,synthetic-13-7,synthetic-kalshi,0.0975,0.1275,0.03,100.0,yes,925.6410256410256
